,English,Urdu
0,How can I communicate with my parents?,میں اپنے والدین سے کیسے بات کروں ؟
1,How can I make friends?’,میں دوست کیسے بنائوں ؟
2,Why do I get so sad?’,میں اتنا اداس کیوں ہوں؟.
3,"If you’ve asked yourself such questions, you’re not alone.",اگر آپ نے اپنے آپ سے ایسے سوالات کیے ہیں، تو آپ اکیلے نہیں ہیں
4,"Depending on where you’ve turned for guidance, you may have been given conflicting answers.", اس بات پر منحصر ہے کہ آپ رہنمائی کے لیے کہاں گئے ہیں، ہو سکتا ہے آپ کو متضاد جوابات دیے گئے ہوں۔
5,"To help young people get solid advice they can rely on, Awake! magazine launched the Bible-based series entitled “Young People Ask .",نوجوانوں کو ٹھوس مشورے حاصل کرنے میں مدد کرنے کے لیے جس پر وہ بھروسہ کر سکتے ہیں، جاگو! میگزین نے بائبل پر مبنی رسالہ شروع کیا۔
6,"in January1982. Decades later, the series still draws an enthusiastic response.",8 جنوری 1982۔ دہائیوں کے بعد، سیریز اب بھی ایک پرجوش ردعمل کھینچتی ہے۔
7,"Each article is the product of extensive research. In fact, to determine just how young people think and feel, Awake!",درحقیقت، اس بات کا تعین کرنے کے لیے کہ نوجوان کیسے سوچتے اور محسوس کرتے ہیں، جاگو!
8,The book you now hold was originally published in 1989.,جو کتاب آپ کے پاس ہے وہ اصل میں 1989 میں شائع ہوئی تھی۔
9,"However, the chapters have been completely revised to address the issues of today.",                                                                                                              (آج کے مسائل کو حل کرنے کے لیے ابواب پر مکمل نظر ثانی کی گئی ہے۔)                         
10,"Questions Young People Ask—Answers That Work, Volume 1, will provide you with the tools you need to become a responsible adult.",نوجوان لوگ جو سوالات پوچھتے ہیں — جوابات جو کام کرتے ہیں، والیم 1، آپ کو وہ اوزار فراہم کرے گا جو آپ کو ایک ذمہ دار بالغ بننے کے لیے درکار ہیں۔
11,The result?,نتیجہ؟
12,“I just went to my bedroom and cried some more!”,میں ابھی اپنے سونے کے کمرے میں گیا اور کچھ اور رویا!
13," On the other hand, sometimes you might prefer not to open up to your parents.", دوسری طرف، بعض اوقات آپ اپنے والدین کے سامنے بات نہ کرنے کو ترجیح دیتے ہیں۔
14," “I talk to my parents about many subjects,","                                                                                                                            ""میں اپنے والدین سے بہت سے موضوعات پر بات کرتا ہوں،"
15,"” says a boy named Christopher. “But I like it that sometimes they don’t know everything I’m thinking.” Is it wrong to keep some thoughts to yourself? Not necessarily—aslong as you’re not being deceitful. (Proverbs 3: 32) Nevertheless,","”کرسٹوفر نامی لڑکا کہتا ہے۔ ""لیکن مجھے یہ پسند ہے کہ کبھی کبھی وہ سب کچھ نہیں جانتے جو میں سوچ رہا ہوں۔"" کیا کچھ خیالات اپنے پاس رکھنا غلط ہے؟ ضروری نہیں - جب تک کہ آپ دھوکے باز نہیں ہو رہے ہیں۔ (امثال 3:32) اس کے باوجود،"
16,whether your parents don’t seem to understand you or you are holding back.,چاہے آپ کے والدین آپ کو سمجھ نہیں رہے ہیں یا آپ پیچھے ہٹ رہے ہیں۔
17, one thing is certain: You need to talk to your parents, ایک چیز یقینی ہے: آپ کو اپنے والدین سے بات کرنے کی ضرورت ہے۔
18,—and they need to hear from you.,اور انہیں آپ سے سننے کی ضرورت ہے۔
19,"Keep Talking! In some ways,",بات کرتے رہیں! کچھ طریقوں سے،
20,communicating with your parents is like driving a car.,اپنے والدین کے ساتھ بات چیت کرنا کار چلانے کے مترادف ہے۔
21," If you encounter a roadblock,", اگر آپ کو روڈ بلاک کا سامنا کرنا پڑتا ہے،
22, you don’t give up; you simply find another route., تم ہمت نہ ہارو آپ صرف ایک اور راستہ تلاش کریں.
23, Consider two examples., دو مثالوں پر غور کریں۔
24, You need to talk, آپ کو بات کرنے کی ضرورت ہے۔
25,", but your parents don’t seem to be listening.",لیکن ایسا لگتا ہے کہ آپ کے والدین سن نہیں رہے ہیں۔
26," “I find it difficult to communicate with my father,","                                                                                                                                          ""مجھے اپنے والد سے بات چیت کرنا مشکل لگتا ہے"
27,” says a girl named Leah.,”لیہ نامی لڑکی کہتی ہے۔
28,"“Sometimes I’ll talk to him for a while and then he’ll say, ‘","کبھی کبھی میں تھوڑی دیر اس سے بات کروں گا اور پھر وہ کہے گا،'_x000D_
میں معافی چاہتا ہوں، کیا آپ مجھ سے بات کر رہے تھے؟'_x000D_
 سوال: اگر لیہ کو واقعی کسی مسئلے پر بات کرنے کی ضرورت ہو تو کیا ہوگا؟_x000D_
اس کے پاس کم از کم تین اختیارات ہیں۔_x000D_
اگر آپ کو کسی مسئلے کے بارے میں اپنے والدین (والدین) کے ساتھ بیٹھ کر بات کرنا مشکل لگتا ہے۔_x000D_
جب آپ ایک ساتھ چل رہے ہوں، گاڑی چلا رہے ہوں یا خریداری کر رہے ہوں تو اس معاملے پر بات کریں۔_x000D_
آپ کے والدین بات کرنا چاہتے ہیں، لیکن آپ ایسا نہیں کریں گے۔_x000D_
اسکول میں سخت دن کے فوراً بعد سوالات کا نشانہ بننے سے بدتر کوئی چیز نہیں ہے۔"
29,"I’m sorry, were you speaking to me?’",سارہ نامی لڑکی کہتی ہے۔
30, ” QUESTION: What if Leah really needs to discuss a problem?,"میں صرف اسکول کے بارے میں بھولنا چاہتا ہوں۔_x000D_
لیکن فوراً ہی میرے والدین پوچھنے لگے:_x000D_
 'آپ کا' اپنے والدین کے ساتھ بات چیت کرنا ہمیشہ آسان نہیں ہوتا ہے،_x000D_
 لیکن جب آپ کھل کر ان سے بات کرتے ہیں،_x000D_
 آپ کو ایسا لگتا ہے جیسے آپ کے دماغ سے ایک بہت بڑا وزن اٹھا لیا گیا ہے۔_x000D_
’’—Devenye ROADBLOCK 2 10 نوجوان پوچھتے ہیں جس طرح آپ کو اپنے والدین سے سنجیدہ موضوعات پر بات کرنا مشکل ہو سکتا ہے۔_x000D_
انہی موضوعات کے بارے میں آپ سے بات کرنے کی کوشش کرتے وقت وہ عجیب اور ناکافی محسوس کر سکتے ہیں۔ ?_x000D_
 کیا آپ جانتے ہیں؟ . . دن؟_x000D_
کیا کوئی مسئلہ تھا؟‘‘_x000D_
 اس میں کوئی شک نہیں کہ سارہ کے والدین بہترین نیت کے ساتھ ایسے سوالات پوچھتے ہیں۔_x000D_
پھر بھی، وہ افسوس کا اظہار کرتی ہے، جب میں تھکا ہوا اور دباؤ کا شکار ہوں تو اسکول کے بارے میں بات کرنا مشکل ہے۔"""
31,She has at least three options.,یاد رکھیں، جو الفاظ آپ کہتے ہیں اور جو پیغام آپ کے والدین سنتے ہیں وہ ہمیشہ مماثل نہیں ہوتے ہیں۔
32,If you find it difficult just to sit and talk with your parent(s) about a problem.,اگر آپ کو کسی مسئلے کے بارے میں اپنے والدین (والدین) کے ساتھ بیٹھنا اور بات کرنا مشکل لگتا ہے۔
33,"discuss the matter while you are walking, driving, or shopping together.",جب آپ ایک ساتھ چل رہے ہوں، گاڑی چلا رہے ہوں یا خریداری کر رہے ہوں تو اس معاملے پر بات کریں۔
34,"Your parents want to talk, but you’d rather not.",آپ کے والدین بات کرنا چاہتے ہیں، لیکن آپ ایسا نہیں کریں گے۔
35,“There’s nothing worse than being hit with questions immediately after a hard day at school,"اسکول میں سخت دن کے فوراً بعد سوالات کا نشانہ بننے سے بدتر کوئی چیز نہیں ہے۔_x000D_
سارہ نامی لڑکی کہتی ہے۔_x000D_
میں صرف اسکول کے بارے میں بھولنا چاہتا ہوں۔"
36,",” says a girl named Sarah.",لیکن فوراً ہی میرے والدین پوچھنے لگتے ہیں۔
37,“I just want to forget about school., ’’آپ کا‘‘ اپنے والدین کے ساتھ بات چیت کرنا ہمیشہ آسان نہیں ہوتا،
38,", but right away my parents start asking.", لیکن جب آپ کھل کر ان سے بات کرتے ہیں۔
39," ‘How was your ‘‘ Communicating with your parents isn’t always easy,", آپ کو ایسا لگتا ہے جیسے آپ کے دماغ سے ایک بہت بڑا وزن اٹھا لیا گیا ہے۔
40, but when you do open up and talk to them., نوجوان لوگ پوچھتے ہیں جس طرح آپ کو اپنے والدین سے سنجیدہ موضوعات پر بات کرنا مشکل ہو سکتا ہے۔
41, you feel as if a huge weight has been lifted off your mind.,انہی موضوعات کے بارے میں آپ سے بات کرنے کی کوشش کرتے وقت وہ عجیب اور ناکافی محسوس کر سکتے ہیں؟
42,’’ —Devenye ROADBLOCK 2 10 young people ask Just as you may find it difficult to talk with your parents about serious subjects., کیا آپ کو دن معلوم تھا؟
43,they may feel awkward and inadequate when trying to talk with you about those same subjects. ?,کیا کوئی مسئلہ تھا؟‘‘
