,English,Urdu
0,<start> How can I communicate with my parents? <end>,<start> میں اپنے والدین سے کیسے بات کروں ؟ <end>
1,<start> How can I make friends?’ <end>,<start> میں دوست کیسے بنائوں ؟ <end>
2,<start> Why do I get so sad?’ <end>,<start> میں اتنا اداس کیوں ہوں؟. <end>
3,"<start> If you’ve asked yourself such questions, you’re not alone. <end>",<start> اگر آپ نے اپنے آپ سے ایسے سوالات کیے ہیں، تو آپ اکیلے نہیں ہیں <end>
4,"<start> Depending on where you’ve turned for guidance, you may have been given conflicting answers. <end>",<start>  اس بات پر منحصر ہے کہ آپ رہنمائی کے لیے کہاں گئے ہیں، ہو سکتا ہے آپ کو متضاد جوابات دیے گئے ہوں۔ <end>
5,"<start> To help young people get solid advice they can rely on, Awake! magazine launched the Bible-based series entitled “Young People Ask . <end>",<start> نوجوانوں کو ٹھوس مشورے حاصل کرنے میں مدد کرنے کے لیے جس پر وہ بھروسہ کر سکتے ہیں، جاگو! میگزین نے بائبل پر مبنی رسالہ شروع کیا۔ <end>
6,"<start> in January1982. Decades later, the series still draws an enthusiastic response. <end>",<start> 8 جنوری 1982۔ دہائیوں کے بعد، سیریز اب بھی ایک پرجوش ردعمل کھینچتی ہے۔ <end>
7,"<start> Each article is the product of extensive research. In fact, to determine just how young people think and feel, Awake! <end>",<start> درحقیقت، اس بات کا تعین کرنے کے لیے کہ نوجوان کیسے سوچتے اور محسوس کرتے ہیں، جاگو! <end>
8,<start> The book you now hold was originally published in 1989. <end>,<start> جو کتاب آپ کے پاس ہے وہ اصل میں 1989 میں شائع ہوئی تھی۔ <end>
9,"<start> However, the chapters have been completely revised to address the issues of today. <end>",<start>                                                                                                               (آج کے مسائل کو حل کرنے کے لیے ابواب پر مکمل نظر ثانی کی گئی ہے۔)                          <end>
10,"<start> Questions Young People Ask—Answers That Work, Volume 1, will provide you with the tools you need to become a responsible adult. <end>",<start> نوجوان لوگ جو سوالات پوچھتے ہیں — جوابات جو کام کرتے ہیں، والیم 1، آپ کو وہ اوزار فراہم کرے گا جو آپ کو ایک ذمہ دار بالغ بننے کے لیے درکار ہیں۔ <end>
11,<start> The result? <end>,<start> نتیجہ؟ <end>
12,<start> “I just went to my bedroom and cried some more!” <end>,<start> میں ابھی اپنے سونے کے کمرے میں گیا اور کچھ اور رویا! <end>
13,"<start>  On the other hand, sometimes you might prefer not to open up to your parents. <end>",<start>  دوسری طرف، بعض اوقات آپ اپنے والدین کے سامنے بات نہ کرنے کو ترجیح دیتے ہیں۔ <end>
